,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new
2549,Maruti Swift Dzire VXI,Pune,7511.5,2014,68218,Petrol,Manual,First,19.1,1197.0,85.8,5.0,19.1
2550,Maruti Ertiga ZDI,Delhi,9121.11,2014,52000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,20.77
2551,Renault Duster 85PS Diesel RxL,Coimbatore,8201.34,2015,63591,Diesel,Manual,First,20.45,1461.0,83.8,5.0,20.45
2552,Honda Amaze VX AT i-Vtech,Hyderabad,8277.98,2014,57937,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,15.5
2553,Audi A4 2.0 TDI Premium Sport Limited Edition,Coimbatore,35947.91,2015,21979,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,17.11
2554,Skoda Octavia Ambiente 1.9 TDI MT,Hyderabad,2912.62,2002,99000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,18.7
2555,Honda Amaze E i-Dtech,Pune,9351.06,2016,62000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
2556,Toyota Innova 2.5 EV Diesel MS 8 Str BSIII,Mumbai,7588.15,2006,127001,Diesel,Manual,First,12.8,2494.0,102.0,8.0,12.8
2557,Hyundai EON D Lite Plus,Hyderabad,3832.4,2013,84600,Petrol,Manual,Second,21.1,814.0,55.2,5.0,21.1
2558,Datsun redi-GO T Option,Kochi,5334.7,2018,30953,Petrol,Manual,First,22.7,799.0,53.64,5.0,22.7
2559,Maruti Swift VDI,Chennai,6745.02,2012,78000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9
2560,Mitsubishi Pajero 2.8 GLX Sports,Hyderabad,12248.35,2008,85000,Diesel,Manual,First,9.5,2835.0,118.6,6.0,9.5
2561,Volvo S80 D5,Hyderabad,16847.23,2008,79000,Diesel,Automatic,First,13.1,2400.0,215.0,5.0,13.1
2562,Toyota Fortuner 4x2 AT,Delhi,28359.76,2014,79000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,12.55
2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,33249.9,2018,48188,Diesel,Manual,First,16.3,1956.0,170.0,5.0,16.3
2564,Maruti Swift Dzire VDI,Coimbatore,7925.4,2014,67557,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2565,Hyundai Verna 1.6 SX,Delhi,6898.32,2011,103814,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,22.32
2566,Mahindra Scorpio VLX 2WD BSIV,Kolkata,10347.48,2014,45128,Diesel,Manual,First,12.05,2179.0,120.0,8.0,12.05
2567,Hyundai i10 Era,Kochi,4782.84,2013,56075,Petrol,Manual,First,19.81,1086.0,68.05,5.0,19.81
2568,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,12646.92,2011,166000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,12.99
2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,30873.81,2017,65367,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,11.36
2570,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,19315.3,2013,114708,Diesel,Manual,First,12.99,2494.0,100.0,8.0,12.99
2571,Maruti Swift Dzire ZDI,Kochi,10132.87,2015,35082,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2572,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,20281.06,2016,38593,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,17.01
2573,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Mumbai,7281.56,2008,70700,Diesel,Manual,First,12.99,2494.0,100.0,8.0,12.99
2574,Volkswagen Vento Diesel Highline,Mumbai,4445.58,2011,83000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,20.54
2575,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,8431.28,2015,120000,Diesel,Manual,First,14.8,2499.0,80.0,10.0,14.8
2576,Mahindra Ssangyong Rexton RX7,Kochi,14517.13,2014,91586,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,11.18
2577,Hyundai i10 Magna,Mumbai,2989.27,2008,38235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
2578,Hyundai i10 Sportz 1.2,Kolkata,3372.51,2011,37000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
2580,Honda Amaze S i-Vtech,Bangalore,6668.38,2013,44000,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,18.0
2581,Maruti Celerio ZXI AT,Pune,6898.32,2016,54000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,23.1
2582,Hyundai Grand i10 Asta,Chennai,5442.01,2013,90000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9
2583,Maruti Swift Dzire VDi,Kolkata,7281.56,2015,35000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,19.3
2584,Hyundai i10 Sportz,Coimbatore,6928.98,2012,47324,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,20.36
2585,BMW X1 sDrive 20d Exclusive,Mumbai,19545.24,2012,65148,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,15.06
2586,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,30720.52,2014,57773,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,17.11
2587,Nissan Terrano XL 85 PS,Bangalore,9964.24,2014,87000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,20.45
2588,Mitsubishi Montero 3.2 GLS,Chennai,11497.2,2007,179032,Diesel,Manual,First,11.56,3200.0,199.3,7.0,11.56
2589,Maruti Wagon R VXI AMT,Mumbai,6361.78,2016,8000,Petrol,Automatic,First,22.5,998.0,67.0,5.0,22.5
2590,Honda Civic 2006-2010 1.8 (E) MT,Hyderabad,3832.4,2007,77000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5
2591,Hyundai i20 2015-2017 Magna 1.2,Pune,8277.98,2016,20600,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6
2592,Maruti Alto K10 VXI,Mumbai,4828.82,2016,13198,Petrol,Manual,First,24.07,998.0,67.1,5.0,24.07
2593,Audi Q7 35 TDI Quattro Technology,Bangalore,80480.4,2015,21000,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,12.07
2594,Hyundai i20 Sportz Option 1.2,Delhi,9121.11,2016,38000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6
2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,10684.73,2019,15379,Petrol,Automatic,First,23.84,1199.0,83.83,5.0,23.84
2596,Hyundai i10 Sportz 1.2,Hyderabad,4905.47,2011,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
2598,Renault Duster 85PS Diesel RxL Optional,Bangalore,10255.5,2013,75371,Diesel,Manual,First,20.46,1461.0,83.8,5.0,20.46
2599,Tata Xenon XT EX 4X4,Bangalore,9044.46,2014,60000,Diesel,Manual,Second,13.49,2179.0,138.03,5.0,13.49
2600,Hyundai i20 Magna,Kolkata,3449.16,2009,30675,Petrol,Manual,First,18.5,1197.0,80.0,5.0,18.5
2601,Maruti Swift Dzire VDI,Kolkata,6898.32,2013,22000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2602,Hyundai EON Magna,Pune,4001.03,2015,55000,Petrol,Manual,First,22.0,814.0,55.0,5.0,22.0
2603,Mercedes-Benz New C-Class 220 CDI AT,Jaipur,17629.04,2010,74213,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,14.84
2604,Mini Cooper Convertible S,Mumbai,53653.6,2016,15000,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,16.82
2605,Tata Nano Cx,Jaipur,766.48,2010,57000,Petrol,Manual,First,26.0,624.0,35.0,4.0,26.0
2606,Maruti Ciaz ZDi Plus,Kolkata,8814.52,2015,62144,Diesel,Manual,Second,26.21,1248.0,88.5,5.0,26.21
2607,Hyundai Verna CRDi 1.6 SX Option,Pune,17629.04,2017,50000,Diesel,Manual,First,22.0,1582.0,126.2,5.0,22.0
2608,Hyundai EON Era Plus,Jaipur,4215.64,2015,38000,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1
2609,BMW 5 Series 2013-2017 520d Luxury Line,Chennai,48288.24,2016,30000,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,18.12
2610,Honda Brio S MT,Kochi,7542.16,2016,38735,Petrol,Manual,First,19.4,1198.0,86.8,5.0,19.4
2611,Maruti Ritz VDi,Pune,5396.02,2012,23598,Diesel,Manual,First,23.2,1248.0,73.94,5.0,23.2
2612,BMW 3 Series 320d Prestige,Chennai,26903.45,2014,70000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18.88
2613,Maruti Swift Dzire LDI,Pune,8891.17,2016,39000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,26.59
2614,Maruti Swift Dzire VDI,Hyderabad,10654.07,2013,84175,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2615,Renault Scala RxL,Kolkata,3679.1,2013,45000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,16.95
2616,Chevrolet Cruze LTZ AT,Mumbai,8048.04,2013,59302,Diesel,Automatic,First,14.39,1998.0,163.7,5.0,14.39
2617,Maruti Swift Dzire ZXi,Ahmedabad,6515.08,2012,55002,Petrol,Manual,First,17.5,1298.0,85.8,5.0,17.5
2618,Tata Indigo CS LX (TDI) BS III,Jaipur,2299.44,2008,128813,Diesel,Manual,First,19.09,1396.0,69.0,5.0,19.09
2619,Hyundai Grand i10 CRDi Sportz,Jaipur,6898.32,2016,46522,Diesel,Manual,First,24.0,1120.0,70.0,5.0,24.0
2620,Tata Indica Vista Quadrajet LS,Pune,3832.4,2014,180000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,22.3
2621,Ford Fiesta 1.4 TDCi EXI,Chennai,2376.09,2006,89326,Diesel,Manual,Third,17.8,1399.0,68.0,5.0,17.8
2622,Renault Duster 85PS Diesel RxE,Pune,9964.24,2016,54000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,19.87
2624,Hyundai Grand i10 CRDi SportZ Edition,Kochi,7603.48,2015,66337,Diesel,Manual,First,24.0,1120.0,70.0,5.0,24.0
2625,Honda Brio S MT,Bangalore,4982.12,2012,60000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,19.4
2626,Audi A4 1.8 TFSI,Kolkata,13030.16,2010,38001,Petrol,Automatic,First,12.3,1781.0,163.2,5.0,12.3
2627,Maruti Alto 800 2016-2019 LXI,Bangalore,4215.64,2014,73000,Petrol,Manual,Second,24.7,796.0,47.3,5.0,24.7
2628,Hyundai Verna Transform SX VTVT,Bangalore,5212.06,2011,61000,Petrol,Manual,Second,16.2,1599.0,103.2,5.0,16.2
2629,Maruti Ertiga ZDI,Hyderabad,10730.72,2013,120000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,20.77
2630,Chevrolet Optra Magnum 1.6 LT ABS BS3,Kochi,4920.8,2012,71787,Petrol,Manual,First,12.9,1598.0,102.5,5.0,12.9
2631,Hyundai Creta 1.6 CRDi SX Option,Coimbatore,21844.68,2016,11554,Diesel,Manual,First,19.67,1582.0,126.2,5.0,19.67
2632,Volkswagen Vento 1.5 TDI Highline,Hyderabad,9964.24,2014,90000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,20.34
2633,Honda City i VTEC SV,Kolkata,8415.95,2014,48104,Petrol,Manual,First,17.4,1497.0,117.3,5.0,17.4
2634,Hyundai Getz GLS ABS,Pune,1226.37,2005,91000,Petrol,Manual,Third,16.8,1341.0,83.0,5.0,16.8
2636,Hyundai Grand i10 AT Asta,Coimbatore,9059.79,2015,33931,Petrol,Automatic,Second,18.9,1197.0,82.0,5.0,18.9
2637,Hyundai Grand i10 1.2 Kappa Sportz Option,Coimbatore,9872.26,2019,13916,Petrol,Manual,First,18.9,1197.0,81.86,5.0,18.9
2638,Maruti Wagon R LXI CNG,Pune,4445.58,2012,90400,CNG,Manual,First,26.2,998.0,58.2,5.0,37.42857142857143
2639,Hyundai Grand i10 Sportz,Jaipur,7051.62,2015,14000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9
2640,Maruti Swift VDI BSIV,Pune,3602.46,2007,121000,Diesel,Manual,Second,17.8,1248.0,74.0,5.0,17.8
2641,Hyundai i20 Asta 1.2,Coimbatore,11052.64,2016,17560,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6
2642,Renault Duster 85PS Diesel RxL,Pune,12263.68,2016,60000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,19.87
2643,Maruti Swift Dzire VDi,Hyderabad,5365.36,2009,88096,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,19.3
2644,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,9044.46,2008,178280,Diesel,Manual,First,12.8,2494.0,102.0,8.0,12.8
2645,Tata Nano Twist XT,Coimbatore,2667.35,2015,19963,Petrol,Manual,Second,25.4,624.0,37.5,4.0,25.4
2646,Ford Figo 2015-2019 1.2P Sports Edition MT,Mumbai,10424.13,2019,1000,Petrol,Manual,First,18.12,1196.0,86.8,5.0,18.12
2647,Hyundai i20 1.2 Asta Option,Jaipur,11497.2,2017,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6
2648,Honda BRV i-VTEC V MT,Pune,12263.68,2016,9200,Petrol,Manual,First,15.4,1497.0,117.3,7.0,15.4
2649,Honda Amaze S Diesel,Hyderabad,9182.43,2015,29000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,27.4
2650,Hyundai Creta 1.6 CRDi SX,Mumbai,19775.18,2017,27000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,19.67
2651,Maruti Baleno Zeta 1.2,Delhi,10730.72,2018,22900,Petrol,Manual,First,21.4,1197.0,83.1,5.0,21.4
2652,Audi Q5 2.0 TDI Technology,Hyderabad,53653.6,2014,50000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,14.16
2653,Honda Amaze S i-DTEC,Jaipur,8431.28,2015,60207,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
2654,BMW X5 3.0d,Coimbatore,28298.44,2010,101119,Diesel,Automatic,First,11.0,2993.0,235.0,5.0,11.0
2655,Ford Figo Petrol Titanium,Jaipur,3679.1,2010,42000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,15.6
2656,Maruti Wagon R VXI,Pune,1532.96,2002,93000,Petrol,Manual,Third,18.9,998.0,67.1,5.0,18.9
2657,Hyundai i10 Era,Ahmedabad,4062.34,2012,60000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,19.81
2658,Skoda Rapid 1.5 TDI AT Elegance,Kochi,9136.44,2015,66122,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,21.66
2659,Porsche Panamera Diesel,Kolkata,114972.0,2015,25100,Diesel,Automatic,First,17.85,2967.0,300.0,4.0,17.85
2660,Mercedes-Benz CLA 200 Sport Edition,Kochi,41619.86,2017,24733,Petrol,Automatic,First,15.04,1991.0,183.0,5.0,15.04
2661,Audi A6 2.8 FSI,Ahmedabad,16096.08,2008,41000,Petrol,Automatic,Second,10.4,2773.0,201.0,5.0,10.4
2662,Maruti Ciaz ZXi Plus,Chennai,10270.83,2015,30000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73
2663,Ford Ecosport 1.5 DV5 MT Titanium,Kolkata,7511.5,2013,36000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,22.7
2664,Mahindra Bolero mHAWK D70 ZLX,Hyderabad,12263.68,2017,40279,Diesel,Manual,First,16.5,1493.0,70.0,7.0,16.5
2665,Maruti Alto K10 VXI,Kochi,5564.64,2018,46805,Petrol,Manual,First,24.07,998.0,67.1,5.0,24.07
2666,Maruti Swift Dzire 1.2 Vxi BSIV,Mumbai,7358.21,2015,60000,Petrol,Manual,First,17.5,1197.0,85.8,5.0,17.5
2667,Tata Zest Revotron 1.2T XE,Mumbai,6515.08,2017,100000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,17.57
2669,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,46402.7,2018,51530,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,10.91
2670,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Jaipur,21844.68,2013,81456,Diesel,Manual,First,15.8,2148.0,170.0,5.0,15.8
2671,Hyundai i10 Sportz AT,Ahmedabad,5227.39,2012,37229,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,16.95
2672,Honda City 1.5 S MT,Delhi,4261.63,2009,73200,Petrol,Manual,First,17.0,1497.0,118.0,5.0,17.0
2673,Skoda Octavia Elegance 2.0 TDI AT,Ahmedabad,23760.88,2015,71826,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,19.3
2674,Tata Indica V2 eLS,Chennai,4598.88,2017,129000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,25.0
2675,Maruti Wagon R VXi BSII,Pune,3525.81,2012,82000,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9
2676,Hyundai Creta 1.6 CRDi SX,Kochi,20357.71,2017,40459,Diesel,Manual,First,19.67,1582.0,126.2,5.0,19.67
2677,Maruti A-Star Lxi,Hyderabad,3449.16,2009,61964,Petrol,Manual,First,19.0,998.0,66.1,5.0,19.0
2678,Maruti Wagon R LXI,Kochi,5150.75,2011,15466,Petrol,Manual,First,22.5,998.0,67.04,5.0,22.5
2679,Honda Mobilio E i VTEC,Kolkata,6515.08,2014,23000,Petrol,Manual,First,17.3,1497.0,117.3,7.0,17.3
2680,Hyundai i10 Magna,Coimbatore,6591.73,2012,43766,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
2682,Hyundai i20 1.4 Sportz,Coimbatore,14072.57,2018,18521,Diesel,Manual,First,22.54,1396.0,88.73,5.0,22.54
2683,Maruti Celerio ZXI Optional,Hyderabad,7649.47,2017,26400,Petrol,Manual,First,23.1,998.0,67.04,5.0,23.1
2684,Skoda Laura 1.8 TSI Ambiente,Pune,5748.6,2011,31900,Petrol,Manual,First,13.4,1798.0,157.8,5.0,13.4
2685,Ford Figo Diesel LXI,Chennai,3832.4,2010,39000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0
2686,Honda Jazz 1.5 VX i DTEC,Hyderabad,11037.31,2016,45671,Diesel,Manual,First,27.3,1498.0,98.6,5.0,27.3
2687,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Ahmedabad,45222.32,2016,39500,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,15.0
2688,Mercedes-Benz GLA Class 200 CDI SPORT,Chennai,26903.45,2015,54000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,17.9
2689,Volvo S60 D3,Chennai,18395.52,2012,20000,Diesel,Automatic,First,18.5,1985.0,163.0,5.0,18.5
2690,Audi A8 L 3.0 TDI quattro,Bangalore,20694.96,2009,55000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,11.8
2691,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,7818.1,2014,48000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,22.32
2692,BMW 3 Series 320d,Kolkata,15789.49,2011,70000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22.69
2693,Hyundai Verna 1.6 SX,Delhi,8737.87,2014,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,22.32
2694,Maruti Wagon R VXI,Kochi,5227.39,2014,41994,Petrol,Manual,First,22.5,998.0,67.04,5.0,22.5
2695,Ford Figo Diesel EXI,Hyderabad,3679.1,2010,108882,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,20.0
2696,Mahindra KUV 100 mFALCON G80 K2,Coimbatore,8584.58,2017,24806,Petrol,Manual,First,18.15,1198.0,82.0,6.0,18.15
2697,Tata Indigo LS,Pune,1532.96,2006,160000,Diesel,Manual,First,17.0,1405.0,70.0,5.0,17.0
2698,Mahindra TUV 300 T8 AMT,Hyderabad,12570.27,2017,30000,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,18.49
2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,42156.4,2015,51000,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,15.17
2700,Maruti Wagon R VXI 1.2,Jaipur,5365.36,2015,64876,Petrol,Manual,First,21.5,1197.0,81.8,5.0,21.5
2701,Maruti Celerio CNG VXI MT,Kochi,7020.96,2016,70536,CNG,Manual,First,31.79,998.0,58.33,5.0,45.41428571428572
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,15850.81,2017,25299,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
2703,Mahindra Scorpio DX 2.6 Turbo 8 Str,Mumbai,4982.12,2006,89869,Diesel,Manual,First,12.7,2609.0,116.6,8.0,12.7
2704,Hyundai Tucson CRDi,Jaipur,7664.8,2007,103515,Diesel,Manual,Third,12.6,1991.0,112.0,7.0,12.6
2705,Hyundai Santro Xing GLS,Hyderabad,3449.16,2008,68282,Petrol,Manual,First,17.92,1086.0,62.1,5.0,17.92
2706,Porsche Panamera Diesel 250hp,Kochi,78978.1,2014,60033,Diesel,Automatic,First,18.18,2967.0,250.0,4.0,18.18
2707,Maruti Vitara Brezza VDi Option,Kochi,13214.12,2018,51921,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
2708,Maruti Swift Dzire VDI,Mumbai,11113.96,2017,18414,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2709,Honda Amaze V Petrol,Kochi,8385.29,2016,40866,Petrol,Manual,First,19.5,1199.0,86.76,5.0,19.5
2710,Jaguar XF 2.2 Litre Luxury,Pune,47521.76,2014,55001,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,16.36
2711,Mini Cooper Convertible S,Kochi,55155.9,2017,20469,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,16.82
2712,Hyundai EON Era Plus,Jaipur,5242.72,2017,8500,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1
2713,Audi A6 3.0 TDI quattro,Ahmedabad,17629.04,2008,45000,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,16.77
2714,Hyundai i20 Active 1.2 SX Dual Tone,Pune,11113.96,2016,6000,Petrol,Manual,First,17.19,1197.0,81.86,5.0,17.19
2715,Maruti Swift AMT DDiS VDI,Chennai,12263.68,2018,11000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,28.4
2716,Ford Ecosport 1.5 DV5 MT Titanium,Kochi,11236.6,2015,80064,Diesel,Manual,First,22.7,1498.0,89.84,5.0,22.7
2717,Maruti Wagon R VXI BS IV with ABS,Kolkata,5135.42,2016,29930,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9
2718,Volkswagen Vento 1.5 TDI Highline,Mumbai,6745.02,2013,49105,Diesel,Manual,First,20.34,1498.0,103.2,5.0,20.34
2719,Toyota Etios VX,Kolkata,4583.55,2012,55000,Petrol,Manual,First,17.6,1496.0,88.7,5.0,17.6
2720,Honda Jazz 1.2 SV i VTEC,Bangalore,8584.58,2015,23000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,18.7
2721,Volkswagen CrossPolo 1.5 TDI,Coimbatore,10163.52,2016,54727,Diesel,Manual,First,20.14,1498.0,88.73,5.0,20.14
2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,12110.38,2018,31426,Diesel,Manual,First,21.66,1498.0,108.62,5.0,21.66
2723,Honda City V MT Exclusive,Kochi,10730.72,2015,53442,Petrol,Manual,First,16.8,1497.0,116.3,5.0,16.8
2724,Honda Brio VX AT,Hyderabad,7588.15,2014,28000,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,16.5
2725,Skoda Rapid 1.6 MPI AT Style,Mumbai,14087.9,2017,13412,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,14.3
2726,Hyundai Verna CRDi,Hyderabad,7818.1,2011,70000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,16.8
2727,Hyundai i20 Active S Diesel,Jaipur,9044.46,2015,81310,Diesel,Manual,First,21.19,1396.0,88.76,5.0,21.19
2728,Maruti Baleno Alpha CVT,Kochi,14578.45,2019,13574,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,21.4
2729,Honda CR-V 2.4L 4WD MT,Mumbai,5978.54,2008,75000,Petrol,Manual,Second,11.1,2354.0,158.8,5.0,11.1
2730,Maruti Swift Dzire VXI,Coimbatore,8262.65,2014,58310,Petrol,Manual,Second,19.1,1197.0,85.8,5.0,19.1
2731,Maruti Swift Dzire VDi,Pune,4598.88,2009,90000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,19.3
2732,Maruti Swift Dzire ZDI,Jaipur,6591.73,2012,83000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4
2733,Maruti Swift Dzire ZXI,Jaipur,10347.48,2017,37282,Petrol,Manual,First,20.85,1197.0,83.14,5.0,20.85
2734,Hyundai Grand i10 Sportz,Jaipur,6898.32,2017,23000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9
2735,Ford Fiesta 1.4 ZXi TDCi ABS,Chennai,4215.64,2010,82000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,17.8
2736,Hyundai Verna 1.6 CRDi S,Chennai,13796.64,2016,31000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,23.9
2738,Ford Figo Diesel EXI,Delhi,3909.05,2014,45001,Diesel,Manual,Second,20.0,1399.0,68.05,5.0,20.0
2739,Tata Manza Aqua Quadrajet BS IV,Coimbatore,5426.68,2014,50446,Diesel,Manual,First,21.12,1248.0,88.8,5.0,21.12
2740,Honda Civic 2006-2010 1.8 S MT,Ahmedabad,6515.08,2009,89000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5
2741,Maruti Alto LX BSIII,Ahmedabad,1839.55,2007,72000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,19.7
2742,BMW 5 Series 520d Luxury Line,Ahmedabad,29892.72,2013,90000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,22.48
2743,Mahindra XUV500 W8 2WD,Bangalore,18395.52,2015,76000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,16.0
2744,Maruti Ritz VDi,Hyderabad,5978.54,2012,78401,Diesel,Manual,First,23.2,1248.0,73.94,5.0,23.2
2745,Maruti Vitara Brezza ZDi Plus,Kochi,13995.92,2017,38426,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
2746,Maruti Eeco 7 Seater Standard,Pune,3449.16,2011,45000,Petrol,Manual,First,15.1,1196.0,73.0,7.0,15.1
2747,Maruti Swift Dzire 1.2 Vxi BSIV,Mumbai,4982.12,2012,83000,Petrol,Manual,First,17.5,1197.0,85.8,5.0,17.5
2748,Hyundai Creta 1.6 CRDi AT SX Plus,Coimbatore,22672.48,2017,50170,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,17.01
2749,Maruti Wagon R LXI,Mumbai,3602.46,2010,37822,Petrol,Manual,First,22.5,998.0,67.04,5.0,22.5
2750,Maruti Celerio ZDi,Kolkata,4752.18,2015,33517,Diesel,Manual,First,27.62,793.0,47.0,5.0,27.62
2751,Hyundai Santa Fe 2WD AT,Delhi,19775.18,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,13.01
2752,Hyundai EON D Lite Plus Option,Kolkata,3832.4,2017,60000,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1
2753,Hyundai i20 Sportz 1.2,Delhi,5595.3,2013,92408,Petrol,Manual,First,18.5,1197.0,82.85,5.0,18.5
2754,Hyundai Verna 1.6 SX VTVT (O),Bangalore,11497.2,2014,45000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,17.1
